name,id,nametype,recclass,mass,fall,year,reclat,reclong,city,zipcode,state
Barwise,4955,Valid,H5,10400.0,Found,1950.0,34.0,-101.5,plainview,79250,TX
Batesland,4973,Valid,H5,2500.0,Found,1961.0,43.13333,-102.1,rapid valley,57716,SD
Bayard,4978,Valid,L5,75000.0,Found,1982.0,41.81667,-103.36667,scottsbluff,69334,NE
Bear Lodge,4983,Valid,"Iron, IIIAB",48500.0,Found,1931.0,44.5,-104.2,spearfish,82712,WY
Beaver,4985,Valid,L5,25628.0,Found,1940.0,36.8,-100.53333,liberal,73932,OK
Beaver-Harrison,4987,Valid,L6,925.0,Found,1979.0,38.48417,-113.13638999999999,cedar city,84751,UT
Beeler,4994,Valid,LL6,11620.0,Found,1924.0,38.53333,-100.21667,dodge city,67518,KS
Beenham,4995,Valid,L5,44400.0,Found,1937.0,36.21667,-103.65,raton,88422,NM
Beer Bottle Pass,4996,Valid,L5,8.9,Found,1999.0,35.66117,-115.33333,spring valley,89019,NV
Belle Plaine,5004,Valid,L6,78800.0,Found,1950.0,37.31667,-97.25,derby,67013,KS
Belmont,5008,Valid,H6,25300.0,Found,1958.0,42.73333,-90.35,platteville,53510,WI
Benedict,5017,Valid,"Iron, IIIAB",16380.0,Found,1970.0,41.0,-97.53333,columbus,68316,NE
Benjamin,5020,Valid,H4/5,51800.0,Found,1969.0,33.58333,-99.8,vernon,79529,TX
Bennett County,5022,Valid,"Iron, IIAB",89000.0,Found,1934.0,43.5,-101.25,pierre,57547,SD
Bethel (a),5030,Valid,OC,18.3,Found,1968.0,34.23333,-103.38333,portales,88130,NM
Bethel (b),5031,Valid,H4,56.8,Found,1968.0,34.24667,-103.395,portales,88130,NM
Bethune,5033,Valid,EH4/5,67.0,Found,1941.0,39.3,-102.41667,lamar,80805,CO
Big Horn Mountains,50765,Valid,H4,91.9,Found,2006.0,33.71333,-113.275,buckeye,85390,AZ
Bishop Canyon,5058,Valid,"Iron, IVA",8600.0,Found,1912.0,38.0,-108.5,cortez,81320,CO
Bison,5061,Valid,LL6,11000.0,Found,1958.0,38.306670000000004,-99.71,dodge city,67516,KS
Blackwater Draw,5067,Valid,H4,1500.0,Found,1979.0,34.20583,-103.22222,portales,88130,NM
Blackwood Creek,5069,Valid,H6,67.0,Found,1998.0,40.5,-101.08333,north platte,69032,NE
Blakeman,56564,Valid,L4,113.7,Found,1983.0,39.91667,-101.2,north platte,67745,KS
Bledsoe,5074,Valid,H4,30500.0,Found,1970.0,33.59167,-103.02667,levelland,88125,NM
Blue Eagle,45972,Valid,R3-6,70.0,Found,2006.0,38.66167,-115.51833,elko,89314,NV
Bluebird,30445,Valid,L6,3650.0,Found,2002.0,35.8675,-114.19167,boulder city,86444,AZ
Bluewater,5078,Valid,"Iron, IIIAB",9540.0,Found,1946.0,35.26667,-107.96667,grants,87045,NM
Bluff (b),5088,Valid,L4,16000.0,Found,1917.0,29.863059999999997,-96.92667,brenham,78945,TX
Boaz (stone),5091,Valid,H5,1800.0,Found,1968.0,33.65167,-103.70833,portales,88116,NM
Boerne,5095,Valid,H6,1100.0,Found,1932.0,29.8,-98.8,leon valley,78006,TX
Bonita Springs,5104,Valid,H5,41800.0,Found,1938.0,26.26667,-81.75,naples park,34119,FL
Borrego,5115,Valid,L6,2126.0,Found,1930.0,33.26667,-116.38333,la quinta,92066,CA
Boulder Mine,52852,Valid,L5,1560.0,Found,2008.0,34.685,-114.323,lake havasu city,86436,AZ
Bouse,35487,Valid,L4-6,147.4,Found,2004.0,33.96667,-114.06667,lake havasu city,85344,AZ
Bowesmont,5124,Valid,L6,2270.0,Found,1962.0,48.68333,-97.16667,grafton,58225,ND
Bowesmont (b),5125,Valid,L5,1300.0,Found,1972.0,48.78333,-97.35,grafton,58238,ND
Brady,5129,Valid,L6,927.0,Found,1937.0,31.05,-99.46667,brownwood,76825,TX
Brainard,5131,Valid,"Iron, IIIAB",138300.0,Found,1978.0,41.15333,-96.955,lincoln,68626,NE
Brandon,5132,Valid,L6/7,7580.0,Found,1975.0,40.81,-101.80167,north platte,69168,NE
Brewster,5137,Valid,L6,17000.0,Found,1940.0,39.25,-101.33333,garden city,67732,KS
Briggsdale,5141,Valid,"Iron, IIIAB",2230.0,Found,1949.0,40.66667,-104.31667,greeley,80611,CO
Briscoe,5142,Valid,L5,1773.0,Found,1940.0,34.35,-101.4,plainview,79257,TX
Bristol,5143,Valid,"Iron, IVA",20000.0,Found,1937.0,36.56667,-82.18333,bristol,24201,VA
Broken Bow,5145,Valid,H4,6800.0,Found,1937.0,41.43333,-99.7,lexington,68856,NE
Bronco,5147,Valid,OC,972.0,Found,1971.0,33.28333,-102.96667,lovington,79355,TX
Bronco (b),5148,Valid,OC,101.0,Found,1980.0,33.275,-102.96,lovington,79355,TX
Bronco (c),5149,Valid,OC,53.0,Found,1980.0,33.275,-102.96,lovington,79355,TX
Brownell,5150,Valid,L6,2000.0,Found,1971.0,38.696670000000005,-99.70833,hays,67521,KS
Brownfield (1937),5151,Valid,H3.7,40960.0,Found,1937.0,33.21667,-102.18333,brownfield,79345,TX
Brownfield (1964),5152,Valid,H5,4100.0,Found,1964.0,33.21667,-102.18333,brownfield,79345,TX
Brownfield (c),5153,Valid,OC,1550.0,Found,1974.0,33.135,-102.27833000000001,brownfield,79316,TX
Brownfield (iron),5154,Valid,"Iron, IID",1626.0,Found,1960.0,33.21667,-102.18333,brownfield,79345,TX
Bruceville,5155,Valid,L6,83000.0,Found,1998.0,38.295,-121.405,galt,95757,CA
Buck Mountain Wash,30446,Valid,H3-5,798.0,Found,2004.0,34.72453,-114.20883,lake havasu city,86404,AZ
Buck Mountains 001,35488,Valid,H6,50.0,Found,2004.0,34.73245,-114.22256999999999,lake havasu city,86404,AZ
Buck Mountains 002,35489,Valid,L6,18.4,Found,2004.0,34.71933,-114.20783,lake havasu city,86404,AZ
Buck Mountains 003,44705,Valid,L6,34200.0,Found,2005.0,34.7345,-114.21717,lake havasu city,86404,AZ
Buck Mountains 004,55342,Valid,H3-6,145.8,Found,2005.0,34.70108,-114.18845,lake havasu city,86404,AZ
Buck Mountains 005,55334,Valid,L6,859.7,Found,2007.0,34.70337,-114.19097,lake havasu city,86404,AZ
Buffalo Gap,51831,Valid,"Iron, IAB-ung",9300.0,Found,2003.0,32.246109999999994,-99.99306,abilene,79562,TX
Bunker Hill,54611,Valid,L6,28000.0,Found,2002.0,38.84833,-98.72383,great bend,67634,KS
Burdett,5167,Valid,H5,8600.0,Found,1940.0,38.23333,-99.53333,hays,67523,KS
Burkett,5170,Valid,"Iron, IAB-MG",8400.0,Found,1913.0,32.03333,-99.25,brownwood,76828,TX
Burns,57342,Valid,"Iron, IIIAB",18400.0,Found,2003.0,39.86667,-106.88333,glenwood springs,80479,CO
Burns Flat,5174,Valid,L6,1987.0,Found,1971.0,35.33333,-99.15,clinton,73641,OK
Bushnell,5180,Valid,H4,1240.0,Found,1939.0,41.23333,-103.9,scottsbluff,69128,NE
Caddo County,5192,Valid,"Iron, IAB-ung",18000.0,Found,1987.0,35.0,-98.33333,lawton,73038,OK
Caldwell,5197,Valid,L-imp melt,12900.0,Found,1961.0,37.03333,-97.625,arkansas city,67022,KS
Calico Rock,5198,Valid,"Iron, IIAB",7275.0,Found,1938.0,36.08333,-92.15,mountain home,72533,AR
Calliham,5201,Valid,L6,40000.0,Found,1958.0,28.41667,-98.25,beeville,78022,TX
Camp Creek,53490,Valid,H4,3016.0,Found,2009.0,33.88098,-111.78558000000001,fountain hills,85262,AZ
Campbellsville,5245,Valid,"Iron, IIIAB",15400.0,Found,1929.0,37.36667,-85.36667,campbellsville,42718,KY
Canyon,5255,Valid,H?,860.0,Found,1957.0,34.96667,-101.93333,canyon,79015,TX
Cargo Muchacho Mountains,50912,Valid,CO3,2860.0,Found,2000.0,32.91745,-114.767183,algodones,92283,CA
Carnegie,5278,Valid,L6,132700.0,Found,1963.0,35.16667,-98.64389,weatherford,73015,OK
Carver,5284,Valid,"Iron, IIAB",94000.0,Found,1935.0,32.0,-86.0,troy,36036,AL
Cashion,5287,Valid,H4,5896.8,Found,1936.0,35.84778,-97.70333000000001,guthrie,73016,OK
Cat Mountain,5297,Valid,L5,2700.0,Found,1981.0,32.14833,-111.11166999999999,drexel heights,85757,AZ
Cave Creek,5299,Valid,H4,1492.0,Found,1992.0,31.7045,-110.77917,green valley,85637,AZ
